year,month,rank_ME,rank_IA,rank_ROE,ret_vw
1967,6,1,1,2,5.3634
1967,7,1,1,2,9.6180
1967,8,1,1,2,-0.1089
1967,9,1,1,2,6.1567
1967,10,1,1,2,-6.8226
1967,11,1,1,2,-0.0807
1967,12,1,1,2,5.2933
1968,1,1,1,2,2.8474
1968,2,1,1,2,-3.1100
1968,3,1,1,2,-2.8596
1968,4,1,1,2,12.8651
1968,5,1,1,2,7.5647
1968,6,1,1,2,2.2611
1968,7,1,1,2,-2.1246
1968,8,1,1,2,2.7082
1968,9,1,1,2,4.9437
1968,10,1,1,2,2.9691
1968,11,1,1,2,8.2533
1968,12,1,1,2,-0.5569
1969,1,1,1,2,-2.2239
1969,2,1,1,2,-7.7830
1969,3,1,1,2,3.0430
1969,4,1,1,2,2.6032
1969,5,1,1,2,1.8398
1969,6,1,1,2,-10.4056
1969,7,1,1,2,-6.3636
1969,8,1,1,2,3.6404
1969,9,1,1,2,-0.3454
1969,10,1,1,2,6.8161
1969,11,1,1,2,-4.4646
1969,12,1,1,2,-3.5223
1970,1,1,1,2,-3.2232
1970,2,1,1,2,5.5760
1970,3,1,1,2,-1.3108
1970,4,1,1,2,-12.1242
1970,5,1,1,2,-6.4552
1970,6,1,1,2,-4.9046
1970,7,1,1,2,11.2715
1970,8,1,1,2,4.9960
1970,9,1,1,2,8.4153
1970,10,1,1,2,-4.9286
1970,11,1,1,2,2.9253
1970,12,1,1,2,8.5523
1971,1,1,1,2,12.1442
1971,2,1,1,2,2.5193
1971,3,1,1,2,6.2603
1971,4,1,1,2,3.0175
1971,5,1,1,2,-2.7328
1971,6,1,1,2,-1.4024
1971,7,1,1,2,-4.3734
1971,8,1,1,2,5.3650
1971,9,1,1,2,-1.0462
1971,10,1,1,2,-6.9075
1971,11,1,1,2,-1.9953
1971,12,1,1,2,11.2441
1972,1,1,1,2,8.5112
1972,2,1,1,2,4.8295
1972,3,1,1,2,-0.7661
1972,4,1,1,2,3.2302
1972,5,1,1,2,-1.2715
1972,6,1,1,2,-3.0037
1972,7,1,1,2,-2.5168
1972,8,1,1,2,3.5393
1972,9,1,1,2,-3.2753
1972,10,1,1,2,-1.6526
1972,11,1,1,2,5.9973
1972,12,1,1,2,-1.2787
1973,1,1,1,2,-5.1618
1973,2,1,1,2,-8.1663
1973,3,1,1,2,-1.7875
1973,4,1,1,2,-6.4230
1973,5,1,1,2,-9.1139
1973,6,1,1,2,-2.1802
1973,7,1,1,2,11.3890
1973,8,1,1,2,-3.7926
1973,9,1,1,2,11.3856
1973,10,1,1,2,0.4482
1973,11,1,1,2,-18.2652
1973,12,1,1,2,-0.5633
1974,1,1,1,2,12.5102
1974,2,1,1,2,2.0695
1974,3,1,1,2,-0.6451
1974,4,1,1,2,-2.9067
1974,5,1,1,2,-5.8886
1974,6,1,1,2,-0.3589
1974,7,1,1,2,-2.2337
1974,8,1,1,2,-4.3880
1974,9,1,1,2,-7.8534
1974,10,1,1,2,7.9474
1974,11,1,1,2,-3.4246
1974,12,1,1,2,-4.5619
1975,1,1,1,2,26.7018
1975,2,1,1,2,3.5796
1975,3,1,1,2,6.3341
1975,4,1,1,2,4.7568
1975,5,1,1,2,6.1030
1975,6,1,1,2,4.5092
1975,7,1,1,2,-1.8377
1975,8,1,1,2,-4.2145
1975,9,1,1,2,-3.3464
1975,10,1,1,2,4.6347
1975,11,1,1,2,4.2606
1975,12,1,1,2,-1.2287
1976,1,1,1,2,23.1265
1976,2,1,1,2,7.5770
1976,3,1,1,2,2.1493
1976,4,1,1,2,-0.9589
1976,5,1,1,2,-2.4990
1976,6,1,1,2,4.8329
1976,7,1,1,2,-0.3706
1976,8,1,1,2,-0.7718
1976,9,1,1,2,1.5852
1976,10,1,1,2,-1.2237
1976,11,1,1,2,4.1452
1976,12,1,1,2,10.6601
1977,1,1,1,2,2.4775
1977,2,1,1,2,-1.0313
1977,3,1,1,2,1.2137
1977,4,1,1,2,3.6353
1977,5,1,1,2,0.7138
1977,6,1,1,2,6.6280
1977,7,1,1,2,1.0737
1977,8,1,1,2,-2.6638
1977,9,1,1,2,1.2945
1977,10,1,1,2,-2.9258
1977,11,1,1,2,9.5684
1977,12,1,1,2,2.1532
1978,1,1,1,2,-2.3433
1978,2,1,1,2,1.9545
1978,3,1,1,2,7.9627
1978,4,1,1,2,7.1498
1978,5,1,1,2,7.5149
1978,6,1,1,2,-1.5616
1978,7,1,1,2,4.1928
1978,8,1,1,2,10.8681
1978,9,1,1,2,-2.1001
1978,10,1,1,2,-20.4261
1978,11,1,1,2,5.6852
1978,12,1,1,2,1.2890
1979,1,1,1,2,10.6857
1979,2,1,1,2,-1.9716
1979,3,1,1,2,11.5300
1979,4,1,1,2,2.4890
1979,5,1,1,2,1.1412
1979,6,1,1,2,5.6448
1979,7,1,1,2,3.0278
1979,8,1,1,2,7.2876
1979,9,1,1,2,-0.5870
1979,10,1,1,2,-9.5040
1979,11,1,1,2,6.6500
1979,12,1,1,2,6.7333
1980,1,1,1,2,7.9510
1980,2,1,1,2,-3.4825
1980,3,1,1,2,-16.1805
1980,4,1,1,2,5.0089
1980,5,1,1,2,6.9922
1980,6,1,1,2,3.4053
1980,7,1,1,2,8.4558
1980,8,1,1,2,5.8412
1980,9,1,1,2,2.1391
1980,10,1,1,2,2.1868
1980,11,1,1,2,4.8812
1980,12,1,1,2,-1.2029
1981,1,1,1,2,0.1114
1981,2,1,1,2,2.0813
1981,3,1,1,2,6.6852
1981,4,1,1,2,3.2341
1981,5,1,1,2,3.4019
1981,6,1,1,2,0.4563
1981,7,1,1,2,-1.9315
1981,8,1,1,2,-6.2687
1981,9,1,1,2,-6.1088
1981,10,1,1,2,7.2869
1981,11,1,1,2,3.4054
1981,12,1,1,2,0.0351
1982,1,1,1,2,-2.8705
1982,2,1,1,2,-2.6960
1982,3,1,1,2,1.0027
1982,4,1,1,2,6.0357
1982,5,1,1,2,-1.9595
1982,6,1,1,2,-0.9863
1982,7,1,1,2,-1.4604
1982,8,1,1,2,10.1110
1982,9,1,1,2,3.7876
1982,10,1,1,2,12.8195
1982,11,1,1,2,9.8330
1982,12,1,1,2,2.6599
1983,1,1,1,2,5.3779
1983,2,1,1,2,6.7609
1983,3,1,1,2,5.6434
1983,4,1,1,2,8.3951
1983,5,1,1,2,6.3890
1983,6,1,1,2,4.3259
1983,7,1,1,2,-0.7726
1983,8,1,1,2,-3.6480
1983,9,1,1,2,2.5463
1983,10,1,1,2,-4.0879
1983,11,1,1,2,6.2026
1983,12,1,1,2,0.0220
1984,1,1,1,2,-0.9721
1984,2,1,1,2,-4.3257
1984,3,1,1,2,2.1826
1984,4,1,1,2,0.1801
1984,5,1,1,2,-4.8268
